Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
7/17/2015 0:00,13,13
7/17/2015 1:00,7,6
7/17/2015 2:00,2,0
7/17/2015 3:00,4,7
7/17/2015 4:00,5,4
7/17/2015 5:00,27,13
7/17/2015 6:00,106,49
7/17/2015 7:00,248,104
7/17/2015 8:00,322,148
7/17/2015 9:00,157,122
7/17/2015 10:00,83,58
7/17/2015 11:00,47,46
7/17/2015 12:00,47,52
7/17/2015 13:00,60,57
7/17/2015 14:00,65,67
7/17/2015 15:00,72,97
7/17/2015 16:00,145,231
7/17/2015 17:00,172,376
7/17/2015 18:00,113,230
7/17/2015 19:00,75,98
7/17/2015 20:00,32,66
7/17/2015 21:00,30,37
7/17/2015 22:00,28,28
7/17/2015 23:00,17,27
7/18/2015 0:00,9,12
7/18/2015 1:00,1,8
7/18/2015 2:00,5,5
7/18/2015 3:00,3,5
7/18/2015 4:00,1,10
7/18/2015 5:00,5,5
7/18/2015 6:00,12,17
7/18/2015 7:00,21,34
7/18/2015 8:00,52,50
7/18/2015 9:00,81,54
7/18/2015 10:00,80,83
7/18/2015 11:00,67,68
7/18/2015 12:00,107,79
7/18/2015 13:00,94,99
7/18/2015 14:00,89,87
7/18/2015 15:00,104,84
7/18/2015 16:00,83,77
7/18/2015 17:00,67,70
7/18/2015 18:00,64,73
7/18/2015 19:00,44,44
7/18/2015 20:00,35,40
7/18/2015 21:00,36,41
7/18/2015 22:00,34,22
7/18/2015 23:00,13,21
7/19/2015 0:00,8,22
7/19/2015 1:00,5,5
7/19/2015 2:00,1,4
7/19/2015 3:00,6,0
7/19/2015 4:00,3,1
7/19/2015 5:00,9,6
7/19/2015 6:00,6,15
7/19/2015 7:00,28,24
7/19/2015 8:00,63,54
7/19/2015 9:00,81,65
7/19/2015 10:00,69,67
7/19/2015 11:00,112,80
7/19/2015 12:00,74,80
7/19/2015 13:00,94,90
7/19/2015 14:00,91,69
7/19/2015 15:00,80,60
7/19/2015 16:00,59,55
7/19/2015 17:00,52,52
7/19/2015 18:00,44,50
7/19/2015 19:00,46,57
7/19/2015 20:00,38,26
7/19/2015 21:00,26,23
7/19/2015 22:00,12,25
7/19/2015 23:00,10,16
7/20/2015 0:00,1,8
7/20/2015 1:00,3,7
7/20/2015 2:00,4,3
7/20/2015 3:00,3,2
7/20/2015 4:00,6,3
7/20/2015 5:00,24,18
7/20/2015 6:00,103,59
7/20/2015 7:00,302,121
7/20/2015 8:00,383,180
7/20/2015 9:00,159,118
7/20/2015 10:00,74,51
7/20/2015 11:00,40,37
7/20/2015 12:00,39,49
7/20/2015 13:00,52,51
7/20/2015 14:00,61,61
7/20/2015 15:00,57,87
7/20/2015 16:00,129,206
7/20/2015 17:00,181,473
7/20/2015 18:00,161,336
7/20/2015 19:00,93,163
7/20/2015 20:00,68,89
7/20/2015 21:00,43,39
7/20/2015 22:00,23,16
7/20/2015 23:00,8,19
7/21/2015 0:00,7,10
7/21/2015 1:00,3,9
7/21/2015 2:00,1,2
7/21/2015 3:00,1,4
7/21/2015 4:00,4,5
7/21/2015 5:00,38,23
7/21/2015 6:00,118,53
7/21/2015 7:00,367,125
7/21/2015 8:00,366,189
7/21/2015 9:00,174,123
7/21/2015 10:00,45,53
7/21/2015 11:00,46,48
7/21/2015 12:00,42,44
7/21/2015 13:00,60,41
7/21/2015 14:00,44,54
7/21/2015 15:00,71,90
7/21/2015 16:00,123,212
7/21/2015 17:00,168,487
7/21/2015 18:00,168,302
7/21/2015 19:00,110,144
7/21/2015 20:00,66,58
7/21/2015 21:00,43,57
7/21/2015 22:00,23,18
7/21/2015 23:00,14,15
7/22/2015 0:00,7,6
7/22/2015 1:00,2,4
7/22/2015 2:00,2,1
7/22/2015 3:00,1,0
7/22/2015 4:00,9,6
7/22/2015 5:00,19,16
7/22/2015 6:00,117,57
7/22/2015 7:00,331,152
7/22/2015 8:00,383,210
7/22/2015 9:00,189,138
7/22/2015 10:00,83,60
7/22/2015 11:00,48,62
7/22/2015 12:00,53,55
7/22/2015 13:00,43,51
7/22/2015 14:00,62,95
7/22/2015 15:00,81,111
7/22/2015 16:00,143,269
7/22/2015 17:00,213,462
7/22/2015 18:00,174,335
7/22/2015 19:00,126,170
7/22/2015 20:00,49,77
7/22/2015 21:00,38,60
7/22/2015 22:00,22,23
7/22/2015 23:00,10,23
7/23/2015 0:00,10,12
7/23/2015 1:00,2,4
7/23/2015 2:00,0,3
7/23/2015 3:00,2,1
7/23/2015 4:00,6,7
7/23/2015 5:00,24,14
7/23/2015 6:00,117,58
7/23/2015 7:00,290,139
7/23/2015 8:00,362,186
7/23/2015 9:00,167,120
7/23/2015 10:00,77,50
7/23/2015 11:00,52,59
7/23/2015 12:00,44,56
7/23/2015 13:00,61,61
7/23/2015 14:00,43,73
7/23/2015 15:00,95,103
7/23/2015 16:00,143,194
7/23/2015 17:00,218,469
7/23/2015 18:00,179,291
7/23/2015 19:00,99,149
7/23/2015 20:00,69,77
7/23/2015 21:00,37,51
7/23/2015 22:00,27,20
7/23/2015 23:00,10,28
7/24/2015 0:00,7,15
